note,auteur,assureur,produit,type,date_publication,date_exp,longueur_avis,avis_corrected,avis_en_clean,avis_clean_nlp_en
5.0,brahim--k-131532,Direct Assurance,auto,train,06/09/2021,01/09/2021,155,meilleurs assurances prix solutions écoute rapidité et je recommande cette compagnie pour vous des prix attractif et services de qualité et rapidité,best insurance prices solutions listening speed and I recommend this company for you attractive prices and quality and speed services,best prices solutions listening speed recommend company attractive prices quality speed services
4.0,bernard-g-112497,Direct Assurance,auto,train,03/05/2021,01/05/2021,267,je suis globalement satisfait sauf que vous avez un problème avec votre site interne impossible de déclarer un sinistre en ligne après plusieurs tentatives déclaration faite par téléphone ou tout c'est très bien passé interlocutrice compétente et très agréable,I am generally satisfied except that you have a problem with your internal site impossible to declare a claim online after several attempts declaration made by telephone or everything went very well competent and very pleasant contact,generally satisfied except problem internal site impossible declare claim online several attempts declaration made telephone everything went well competent pleasant contact
5.0,virginie-t-107352,Direct Assurance,auto,train,21/03/2021,01/03/2021,167,prix très abordable plusieurs options s'offrent a nous comme le boîtier connecter à la voiture l'option tranquilliser et zéro franchise ce qui est tout a fait plaisant,very affordable price several options are available to us such as the box connected to the car the reassurance option and zero franchise which is quite pleasant,affordable price several options available box connected reassurance option zero franchise quite pleasant
4.0,boulain-f-116580,L'olivier Assurance,auto,train,10/06/2021,01/06/2021,155,je satisfait du service une réponse très rapide de votre service je vous en remercie vous êtes une assurance la moins cher sur le marche cordialement,"I am satisfied with the service, a very quick response from your service, thank you, you are the cheapest insurance on the market, best regards",satisfied quick response cheapest market best regards
1.0,ouaille31-51798,Matmut,auto,train,29/01/2017,01/01/2017,720,client depuis plus de 25 ans très déçu de cette mutuelle qui n'a plus rien d'une mutuelle la recherche du profit immédiat est devenu leur priorité à l'agence on ne sait que essayer de vous fourguer des contrats inutiles on vous fait payer une protection juridique sur chaque contrat mais vous ne serez défendu qu'une fois dès qu'il y a le moindre sinistre il ne sont pas là pour vous défendre mais au contraire pour vous mettre d'office tous les tords pour faire descendre votre bonus qui est trop haut bref ils n'ont plus qu'un seul but vous faire payer le plus possible hélas c'est maintenant le lot de tous les assureurs donc cherchez à payer le moins possible et surtout de ne pas avoir besoin d'eux,customer for more than 25 years very disappointed with this mutual which no longer has anything of a mutual the search for immediate profit has become their priority at the agency we only know to try to cheat you out of useless contracts we make you pay for legal protection on each contract but you will only be defended once as soon as there is the slightest disaster they are not there to defend you but on the contrary to automatically put all the wrongs on you to lower your bonus which is too high in short they only have one left goal is to make you pay as much as possible unfortunately this is now the lot of all insurers so try to pay as little as possible and above all not to need them,disappointed mutual longer anything mutual search immediate profit become priority agency know try cheat useless contracts make pay legal protection defended soon slightest disaster defend contrary automatically put wrongs lower bonus high short one left goal make pay much possible unfortunately lot insurers try pay little possible need
1.0,spam-62064,Néoliane Santé,sante,train,06/03/2018,01/03/2018,344,vente forcée par téléphone prétextant des évènements graves pour mes proches mais sans même connaître ma date de naissance néoliane va dire que c'est la faute de la plateforme téléphonique au marre mais ce démarchage est abusif et angoissant de plus je suis inscrit sur bloctel a fuir et à reporter aux services de répressions des fraude,forced sale by telephone claiming serious events for my loved ones but without even knowing my date of birth neoliane will say that it is the fault of the fed up telephone platform but this canvassing is abusive and distressing moreover I am registered on bloctel to flee and report to the fraud repression services,forced sale telephone claiming serious events loved ones knowing date birth neoliane say fault fed telephone platform canvassing abusive distressing moreover registered bloctel flee report fraud repression services
3.0,ludovic-b-135966,APRIL,sante,train,05/10/2021,01/10/2021,160,nouveau client satisfait du prix et des services je ne donnerai pas plus d'avis car je suis nouveau client chez vous j'espère que tout se passera bien merci,new customer satisfied with the price and services I will not give more opinions because I am a new customer with you I hope everything goes well thank you,new satisfied price services give opinions new hope everything goes well
1.0,laetitia741-97523,SantéVet,animaux,train,17/09/2020,01/09/2020,956,un assureur m'a contacté par téléphone pour me vendre cette assurance pour mon chiot en me vendant que les jolis détails j'ai donc souscrit à l'assurance pour être remboursée à 80 je vais ensuite chez le vétérinaire pour vacciner mon chiot et on me prescrit une pommade pour des boutons qu'il a santé vêt ne me la rembourse pas car il y a une carence de 45 jours dont on ne m'avait pas parlé ce détail passe encore 1 mois plus tard je fais le rappel du vaccin pour mon chiot comme pour tous les chiots et achète des vermifuges j'envoie donc une facture de 118 euros et la on me dit que l'on ne me rembourse pas car je n'ai droit qu'à 50 euros de frais par an que l'on ne m'avait pas dis non plus sinon je n'aurais jamais souscrit le but de l'assurance est d'etre remboursé j'appelle l'assurance pour résilier et la bien entendu on me dit que je dois attendre 1 an pour me rétracter chose qu'on ne m'avait jamais dite fuyez cette assurance,"an insurer contacted me by telephone to sell me this insurance for my puppy by selling me only the nice details I therefore subscribed to the insurance to be reimbursed at 80 I then go to the veterinarian to vaccinate my puppy and I am prescribed an ointment for pimples that he has health vet does not reimburse me because there is a 45 day deficiency of which I had not been told this detail still passes 1 month later I am recalling the vaccine for my puppy as for all puppies and buys dewormers so I send an invoice for 118 euros and I am told that I will not be reimbursed because I am only entitled to 50 euros in costs per year which I was not told either otherwise I would never have subscribed the aim of the insurance is to be reimbursed I call the insurance to cancel and of course they tell me that I have to wait 1 year to retract something that no one had ever told me, run away from this insurance",insurer contacted telephone sell puppy selling nice details therefore subscribed reimbursed veterinarian vaccinate puppy prescribed ointment pimples health vet reimburse day deficiency told detail passes month later recalling vaccine puppy puppies buys dewormers send invoice 118 euros told reimbursed entitled euros costs per year told either otherwise would never subscribed aim reimbursed call cancel course tell wait year retract something one ever told run away
1.0,gbernard10-102485,Mercer,sante,train,12/01/2021,01/01/2021,708,je ne peux que rejoindre les nombreux avis négatifs je regrette même d'avoir dû mettre 1 étoile tant le service et les remboursements sont inexistants en attente de remboursements optique et ostéopathie depuis plus de 10 semaines maintenant et toujours le même discours bien rodé nous avons du retard mais vos demandes vont être traitées avant la fin de semaine compter en moyenne 45 minutes par appel pour enfin avoir un conseiller avec qui il faudra à nouveau parcourir tous les dossiers ouverts alors qu'ils sont sensés avoir pleine visibilité dans leur système le pire leur site annonce des remboursements traités alors que ceux-ci n'ont toujours pas été crédités sur mon compte bancaire,I can only join the many negative reviews I even regret having had to put 1 star as the service and reimbursements are non-existent waiting for optical and osteopathic reimbursements for more than 10 weeks now and always the same well-rehearsed speech we are late but your requests will be processed before the end of the week count on average 45 minutes per call to finally have an advisor with whom you will have to go through all the open files again while they are supposed to have full visibility in their system the worst their site announces reimbursements processed even though they have still not been credited to my bank account,join many negative reviews regret put star reimbursements non-existent waiting optical osteopathic reimbursements weeks always well-rehearsed speech late requests processed end week count average minutes per call finally advisor open files supposed full visibility system worst site announces reimbursements processed though credited bank account
1.0,rezo31-62544,Generali,vie,train,21/03/2018,01/03/2018,144,generali assurances vie patrimoine très mauvais service client pas sérieux mauvais payeur si on demande une avance sur son épargne général vie,generali life insurance assets very poor customer service not serious bad payer if you ask for an advance on your general life savings,generali life assets poor serious bad payer ask advance general life savings
