note,auteur,avis,assureur,produit,type,date_publication,date_exp,avis_en,longueur_avis,avis_clean,avis_corrected,avis_en_clean
5.0,brahim--k-131532,"Meilleurs assurances, prix, solutions, écoute, rapidité, et je recommande cette compagnie pour vous 
Des prix attractif et services de qualité et rapidité ",Direct Assurance,auto,train,06/09/2021,01/09/2021,"Best insurance, price, solutions, listening, speed, and I recommend this company for you
Attractive prices and quality services and speed",155,meilleurs assurances prix solutions écoute rapidité et je recommande cette compagnie pour vous des prix attractif et services de qualité et rapidité,meilleurs assurances prix solutions écoute rapidité et je recommande cette compagnie pour vous des prix attractif et services de qualité et rapidité,best insurance prices solutions listening speed and I recommend this company for you attractive prices and quality and speed services
4.0,bernard-g-112497,"je suis globalement satisfait , sauf que vous avez un problème avec votre site internet ,impossible de déclarer un sinistre en ligne après plusieurs tentatives déclaration faite par téléphone ou tout c'est très bien passé , interlocutrice compétente et très agréable ",Direct Assurance,auto,train,03/05/2021,01/05/2021,"I am generally satisfied, except that you have a problem with your website, impossible to declare an online disaster after several attempts declared by phone or everything went very well, competent and very pleasant interlocutor",267,je suis globalement satisfait sauf que vous avez un problème avec votre site internet impossible de déclarer un sinistre en ligne après plusieurs tentatives déclaration faite par téléphone ou tout c'est très bien passé interlocutrice compétente et très agréable,je suis globalement satisfait sauf que vous avez un problème avec votre site interne impossible de déclarer un sinistre en ligne après plusieurs tentatives déclaration faite par téléphone ou tout c'est très bien passé interlocutrice compétente et très agréable,I am generally satisfied except that you have a problem with your internal site impossible to declare a claim online after several attempts declaration made by telephone or everything went very well competent and very pleasant contact
5.0,virginie-t-107352,"Prix tres abordable plusieurs options s'offrent a nous comme le boitier connecter à la voiture, l'option tranquiliter et zero franchise ce qui est tout a fait plaisant",Direct Assurance,auto,train,21/03/2021,01/03/2021,"Very affordable price Several options are available to us such as the connecting box to the car, the quiet and zero franchise option which is quite pleasant",167,prix tres abordable plusieurs options s'offrent a nous comme le boitier connecter à la voiture l'option tranquiliter et zero franchise ce qui est tout a fait plaisant,prix très abordable plusieurs options s'offrent a nous comme le boîtier connecter à la voiture l'option tranquilliser et zéro franchise ce qui est tout a fait plaisant,very affordable price several options are available to us such as the box connected to the car the reassurance option and zero franchise which is quite pleasant
4.0,boulain-f-116580,"je satisfait du service, une réponse très rapide de votre service .je vous en remercie, vous êtes une assurance la moins cher sur le marche, Cordialement. ",L'olivier Assurance,auto,train,10/06/2021,01/06/2021,"I satisfy the service, a very fast response from your service. I thank you, you are a cheapest insurance on the walk, cordially.",155,je satisfait du service une réponse très rapide de votre service je vous en remercie vous êtes une assurance la moins cher sur le marche cordialement,je satisfait du service une réponse très rapide de votre service je vous en remercie vous êtes une assurance la moins cher sur le marche cordialement,"I am satisfied with the service, a very quick response from your service, thank you, you are the cheapest insurance on the market, best regards"
1.0,ouaille31-51798,"Client depuis plus de 25 ans, très déçu de cette ""mutuelle"" qui n'a plus rien d'une Mutuelle, la recherche du profit immédiat est devenu leur priorité. à l'agence on ne sait que essayer de vous fourguer des contrats inutiles, on vous fait payer une protection juridique sur chaque contrat mais vous ne serez défendu qu'une fois!  dès qu'il y a le moindre sinistre il ne sont pas là pour vous défendre mais au contraire pour vous mettre d'office tous les tords pour faire descendre votre bonus qui est trop haut ! Bref ils n'ont plus qu'un seul but vous faire payer le plus possible. Hélas c'est maintenant le lot de tous les assureurs. Donc cherchez à payer le moins possible et surtout de ne pas avoir besoin d'eux !!! ",Matmut,auto,train,29/01/2017,01/01/2017,"Customer for more than 25 years, very disappointed with this ""mutual"" which is no longer a mutual, the search for immediate profit has become their priority. At the agency we do not know that trying to run unnecessary contracts, we make you pay legal protection on each contract but you will only be defended once! As soon as there is the slightest claim there are not there to defend you but on the contrary to automatically put you all the twists to bring down your bonus which is too high! In short, they have only one goal to make you pay as much as possible. Alas it is now the lot of all insurers. So find out to pay as little as possible and especially not to need them !!!",720,client depuis plus de 25 ans très déçu de cette mutuelle qui n'a plus rien d'une mutuelle la recherche du profit immédiat est devenu leur priorité à l'agence on ne sait que essayer de vous fourguer des contrats inutiles on vous fait payer une protection juridique sur chaque contrat mais vous ne serez défendu qu'une fois dès qu'il y a le moindre sinistre il ne sont pas là pour vous défendre mais au contraire pour vous mettre d'office tous les tords pour faire descendre votre bonus qui est trop haut bref ils n'ont plus qu'un seul but vous faire payer le plus possible hélas c'est maintenant le lot de tous les assureurs donc cherchez à payer le moins possible et surtout de ne pas avoir besoin d'eux,client depuis plus de 25 ans très déçu de cette mutuelle qui n'a plus rien d'une mutuelle la recherche du profit immédiat est devenu leur priorité à l'agence on ne sait que essayer de vous fourguer des contrats inutiles on vous fait payer une protection juridique sur chaque contrat mais vous ne serez défendu qu'une fois dès qu'il y a le moindre sinistre il ne sont pas là pour vous défendre mais au contraire pour vous mettre d'office tous les tords pour faire descendre votre bonus qui est trop haut bref ils n'ont plus qu'un seul but vous faire payer le plus possible hélas c'est maintenant le lot de tous les assureurs donc cherchez à payer le moins possible et surtout de ne pas avoir besoin d'eux,customer for more than 25 years very disappointed with this mutual which no longer has anything of a mutual the search for immediate profit has become their priority at the agency we only know to try to cheat you out of useless contracts we make you pay for legal protection on each contract but you will only be defended once as soon as there is the slightest disaster they are not there to defend you but on the contrary to automatically put all the wrongs on you to lower your bonus which is too high in short they only have one left goal is to make you pay as much as possible unfortunately this is now the lot of all insurers so try to pay as little as possible and above all not to need them
1.0,spam-62064,"Vente forcée par téléphone, prétextant des évènements graves pour mes proches, mais sans même connaître ma date de naissance !
Néoliane va dire que c'est la faute de la plateforme téléphonique au Magreb, mais ce démarchage est abusif et angoissant. De plus, je suis iscrit sur BLOCTEL
A fuir et à reporter aux services de répressions des fraude",Néoliane Santé,sante,train,06/03/2018,01/03/2018,"Forced sale by phone, claiming serious events for my loved ones, but without even knowing my date of birth!
Neoliane will say that this is the fault of the telephone platform in the Magreb, but this canvassing is abusive and scary. In addition, I am iScript on Bloctel
To flee and to postpone to the fraud repression services",344,vente forcée par téléphone prétextant des évènements graves pour mes proches mais sans même connaître ma date de naissance néoliane va dire que c'est la faute de la plateforme téléphonique au magreb mais ce démarchage est abusif et angoissant de plus je suis iscrit sur bloctel a fuir et à reporter aux services de répressions des fraude,vente forcée par téléphone prétextant des évènements graves pour mes proches mais sans même connaître ma date de naissance néoliane va dire que c'est la faute de la plateforme téléphonique au marre mais ce démarchage est abusif et angoissant de plus je suis inscrit sur bloctel a fuir et à reporter aux services de répressions des fraude,forced sale by telephone claiming serious events for my loved ones but without even knowing my date of birth neoliane will say that it is the fault of the fed up telephone platform but this canvassing is abusive and distressing moreover I am registered on bloctel to flee and report to the fraud repression services
3.0,ludovic-b-135966,"Nouveau client satisfait du prix et des services.
Je ne donnerai pas plus d'avis car je suis nouveau client chez vous. J'espère que tout se passera bien merci  ",APRIL,sante,train,05/10/2021,01/10/2021,"New customer satisfied with the price and services.
I will not give more reviews because I am a new customer at home. I hope everything will go well thank you",160,nouveau client satisfait du prix et des services je ne donnerai pas plus d'avis car je suis nouveau client chez vous j'espère que tout se passera bien merci,nouveau client satisfait du prix et des services je ne donnerai pas plus d'avis car je suis nouveau client chez vous j'espère que tout se passera bien merci,new customer satisfied with the price and services I will not give more opinions because I am a new customer with you I hope everything goes well thank you
1.0,laetitia741-97523,"Un assureur m'a contacté par telephone pour me vendre cette assurance pour mon chiot en me vendant que les jolis détails, j'ai donc souscrit à l'assurance pour etre remboursée à 80%.
Je vais ensuite chez le vétérinaire pour vacciner mon chiot, et on me prescrit une pommade pour des boutons qu'il a, santé vet ne me la rembourse pas car il y a une carrence de 45 jours dont on ne m'avait pas parlé, ce détail passe encore.
 1 mois plus tard je fais le rappel du vaccin pour mon chiot (comme pour tous les chiots et achète des vermifuges), j'envoie donc une facture de 118 euros et la on me dit que l'on ne me rembourse pas car je n'ai droit qu'à 50 euros de frais par an (que l'on ne m'avait pas dis non plus sinon je n'aurais jamais souscrit, le but de l'assurance est d'etre remboursé)
J'appelle l'assurance pour résilier et la bien entendu on me dit que je dois attendre 1 an pour me rétracter chose qu'on ne m'avait jamais dite.
Fuyez cette assurance!!",SantéVet,animaux,train,17/09/2020,01/09/2020,"An insurer contacted me by phone to sell me this insurance for my puppy by selling me that the pretty details, so I subscribed to the insurance to be reimbursed at 80%.
I then go to the veterinarian to vaccinate my puppy, and I am prescribed an ointment for buttons he has, Health Vet does not reimburse it to me because there is a 45 -day coach of which I had not been told, This detail is still going on.
 1 month later I remind the vaccine for my puppy (as for all puppies and buys dewormers), so I send an invoice of 118 euros and I am told that I am not reimbursed because I n The right only 50 euros of costs per year (which I had not been told either otherwise I would never have subscribed, the purpose of the insurance is to be reimbursed)
I call insurance to terminate and of course I am told that I have to wait 1 year to retract thing that I had never been told.
Flee this insurance !!",956,un assureur m'a contacté par telephone pour me vendre cette assurance pour mon chiot en me vendant que les jolis détails j'ai donc souscrit à l'assurance pour etre remboursée à 80 je vais ensuite chez le vétérinaire pour vacciner mon chiot et on me prescrit une pommade pour des boutons qu'il a santé vet ne me la rembourse pas car il y a une carrence de 45 jours dont on ne m'avait pas parlé ce détail passe encore 1 mois plus tard je fais le rappel du vaccin pour mon chiot comme pour tous les chiots et achète des vermifuges j'envoie donc une facture de 118 euros et la on me dit que l'on ne me rembourse pas car je n'ai droit qu'à 50 euros de frais par an que l'on ne m'avait pas dis non plus sinon je n'aurais jamais souscrit le but de l'assurance est d'etre remboursé j'appelle l'assurance pour résilier et la bien entendu on me dit que je dois attendre 1 an pour me rétracter chose qu'on ne m'avait jamais dite fuyez cette assurance,un assureur m'a contacté par téléphone pour me vendre cette assurance pour mon chiot en me vendant que les jolis détails j'ai donc souscrit à l'assurance pour être remboursée à 80 je vais ensuite chez le vétérinaire pour vacciner mon chiot et on me prescrit une pommade pour des boutons qu'il a santé vêt ne me la rembourse pas car il y a une carence de 45 jours dont on ne m'avait pas parlé ce détail passe encore 1 mois plus tard je fais le rappel du vaccin pour mon chiot comme pour tous les chiots et achète des vermifuges j'envoie donc une facture de 118 euros et la on me dit que l'on ne me rembourse pas car je n'ai droit qu'à 50 euros de frais par an que l'on ne m'avait pas dis non plus sinon je n'aurais jamais souscrit le but de l'assurance est d'etre remboursé j'appelle l'assurance pour résilier et la bien entendu on me dit que je dois attendre 1 an pour me rétracter chose qu'on ne m'avait jamais dite fuyez cette assurance,"an insurer contacted me by telephone to sell me this insurance for my puppy by selling me only the nice details I therefore subscribed to the insurance to be reimbursed at 80 I then go to the veterinarian to vaccinate my puppy and I am prescribed an ointment for pimples that he has health vet does not reimburse me because there is a 45 day deficiency of which I had not been told this detail still passes 1 month later I am recalling the vaccine for my puppy as for all puppies and buys dewormers so I send an invoice for 118 euros and I am told that I will not be reimbursed because I am only entitled to 50 euros in costs per year which I was not told either otherwise I would never have subscribed the aim of the insurance is to be reimbursed I call the insurance to cancel and of course they tell me that I have to wait 1 year to retract something that no one had ever told me, run away from this insurance"
1.0,gbernard10-102485,"Je ne peux que rejoindre les nombreux avis négatifs. Je regrette même d'avoir dû mettre 1 étoile tant le service ET les remboursements sont inexistants. En attente de remboursements optique et ostéopathie depuis plus de 10 semaines maintenant et toujours le même discours bien rodé : ""Nous avons du retard mais vos demandes vont être traitées avant la fin de semaine!"". Compter en moyenne 45 minutes par appel pour enfin avoir un ""conseiller"" avec qui il faudra à nouveau reparcourir tous les dossiers ouverts (alors qu'ils sont sensés avoir pleine visibilité dans leur système). Le pire, leur site annonce des remboursements traités alors que ceux-ci n'ont toujours pas été crédités sur mon compte bancaire!",Mercer,sante,train,12/01/2021,01/01/2021,"I can only join the many negative opinions. I even regret having had to put 1 star as the service and the reimbursements are nonexistent. Waiting for optical and osteopathy reimbursements for more than 10 weeks now and always the same well -established speech: ""We are late but your requests will be processed before the weekend!"". Count on average 45 minutes per call to finally have an ""advisor"" with whom it will be necessary to iron all the open files again (while they are supposed to have full visibility in their system). The worst, their site announces reimbursements treated when they have still not been credited to my bank account!",708,je ne peux que rejoindre les nombreux avis négatifs je regrette même d'avoir dû mettre 1 étoile tant le service et les remboursements sont inexistants en attente de remboursements optique et ostéopathie depuis plus de 10 semaines maintenant et toujours le même discours bien rodé nous avons du retard mais vos demandes vont être traitées avant la fin de semaine compter en moyenne 45 minutes par appel pour enfin avoir un conseiller avec qui il faudra à nouveau reparcourir tous les dossiers ouverts alors qu'ils sont sensés avoir pleine visibilité dans leur système le pire leur site annonce des remboursements traités alors que ceux-ci n'ont toujours pas été crédités sur mon compte bancaire,je ne peux que rejoindre les nombreux avis négatifs je regrette même d'avoir dû mettre 1 étoile tant le service et les remboursements sont inexistants en attente de remboursements optique et ostéopathie depuis plus de 10 semaines maintenant et toujours le même discours bien rodé nous avons du retard mais vos demandes vont être traitées avant la fin de semaine compter en moyenne 45 minutes par appel pour enfin avoir un conseiller avec qui il faudra à nouveau parcourir tous les dossiers ouverts alors qu'ils sont sensés avoir pleine visibilité dans leur système le pire leur site annonce des remboursements traités alors que ceux-ci n'ont toujours pas été crédités sur mon compte bancaire,I can only join the many negative reviews I even regret having had to put 1 star as the service and reimbursements are non-existent waiting for optical and osteopathic reimbursements for more than 10 weeks now and always the same well-rehearsed speech we are late but your requests will be processed before the end of the week count on average 45 minutes per call to finally have an advisor with whom you will have to go through all the open files again while they are supposed to have full visibility in their system the worst their site announces reimbursements processed even though they have still not been credited to my bank account
1.0,rezo31-62544,"GENERALI ASSURANCES VIE PATRIMOINE Très mauvais service client, pas sérieux, mauvais payeur si on demande une avance sur son éparge Générali Vie",Generali,vie,train,21/03/2018,01/03/2018,"Generali Insurance life heritage very bad customer service, not serious, bad payer if you ask for an advance on its general savings",144,generali assurances vie patrimoine très mauvais service client pas sérieux mauvais payeur si on demande une avance sur son éparge générali vie,generali assurances vie patrimoine très mauvais service client pas sérieux mauvais payeur si on demande une avance sur son épargne général vie,generali life insurance assets very poor customer service not serious bad payer if you ask for an advance on your general life savings
1.0,rod-90080,"c'est une honte totale. nous avons toutes nos assurances avec allianz. ils traitent notre réclamation avec incompétence, nous menaçons de les quitter, ils annulent néanmoins notre assurance à la fin de ce contrat. éviter!",Allianz,auto,train,30/05/2020,01/05/2020,"It is a total shame. We have all our insurance with Allianz. They deal with our complaint with incompetence, we are led to leaving them, they nevertheless cancel our insurance at the end of this contract. to avoid!",221,c'est une honte totale nous avons toutes nos assurances avec allianz ils traitent notre réclamation avec incompétence nous menaçons de les quitter ils annulent néanmoins notre assurance à la fin de ce contrat éviter,c'est une honte totale nous avons toutes nos assurances avec allianz ils traitent notre réclamation avec incompétence nous menaçons de les quitter ils annulent néanmoins notre assurance à la fin de ce contrat éviter,it's a total shame we have all our insurance with allianz they handle our complaint with incompetence we threaten to leave them they nevertheless cancel our insurance at the end of this contract avoid
